Florida,Cerrena,hydnoides,965
Florida,Chlorophyllum,molybdites,778
Florida,Clathrus,columnatus,425
Florida,Clathrus,crispatus,343
Florida,Ganoderma,curtisii,320
Florida,Stereum,ostrea,319
Florida,Trametes,lactinea,306
Florida,Leucocoprinus,birnbaumii,241
Florida,Schizophyllum,commune,240
Florida,Ganoderma,zonatum,231
Florida,Favolus,brasiliensis,224
Florida,Lentinus,crinitus,216
Florida,Lactarius,indigo,179
Florida,Phallus,ravenelii,164
Florida,Trametes,versicolor,140
Florida,Leucocoprinus,fragilissimus,136
Florida,Amanita,persicina,135
Florida,Stereum,complicatum,135
Florida,Lactarius,hygrophoroides,118
Florida,Ganoderma,sessile,110
Florida,Hericium,erinaceus,110
Florida,Psilocybe,cubensis,103
Florida,Boletellus,ananas,102
Florida,Cantharellus,cinnabarinus,102
Florida,Coprinellus,disseminatus,100
Florida,Omphalotus,subilludens,95
Florida,Stereum,lobatum,84
Florida,Lycoperdon,marginatum,83
Florida,Sarcodontia,pachyodon,78
Florida,Astraeus,hygrometricus,77
Florida,Laetiporus,persicinus,74
Florida,Phellinus,gilva,69
Florida,Pluteus,cervinus,64
Florida,Neolentinus,lepideus,62
Florida,Phaeolus,schweinitzii,62
Florida,Pycnoporus,sanguineus,61
Florida,Cyathus,striatus,59
Florida,Gymnopus,iocephalus,58
Florida,Laetiporus,gilbertsonii,58
Florida,Strobilomyces,strobilaceus,55
Florida,Panaeolus,antillarum,51
Florida,Ganoderma,applanatum,50
Florida,Pleurotus,ostreatus,50
Florida,Cantharellus,coccolobae,49
Florida,Conocybe,apala,49
Florida,Laccaria,laccata,49
Florida,Fomes,fasciatus,44
Florida,Panaeolus,cyanescens,41
Florida,Lentinus,arcularius,39
Florida,Pulchroboletus,rubricitrinus,39
Florida,Mutinus,elegans,38
Florida,Parasola,plicatilis,38
Florida,Butyriboletus,floridanus,36
Florida,Cymatoderma,caperatum,36
Florida,Omphalotus,illudens,36
Florida,Pleurotus,pulmonarius,36
Florida,Trametes,cubensis,36
Florida,Gloeophyllum,sepiarium,35
Florida,Apioperdon,pyriforme,34
Florida,Pycnoporus,cinnabarina,33
Florida,Trichaptum,biforme,33
Florida,Cortinarius,iodes,32
Florida,Lactarius,volemus,31
Florida,Panus,lecomtei,31
Florida,Trichaptum,sector,30
Florida,Austroboletus,subflavidus,29
Florida,Volvariella,bombycina,29
Florida,Corticium,koleroga,27
Florida,Trametes,villosa,27
Florida,Pisolithus,arhizus,25
Florida,Amanita,bisporigera,24
Florida,Inonotus,hispidus,24
Florida,Lentinus,tigrinus,24
Florida,Panaeolus,papilionaceus,24
Florida,Scleroderma,citrinum,24
Florida,Hortiboletus,rubellus,23
Florida,Amanita,jacksonii,22
Florida,Amanita,vaginata,22
Florida,Gyroporus,roseialbus,22
Florida,Oudemansiella,canarii,22
Florida,Tylopilus,rhoadsiae,22
Florida,Laternea,dringii,21
Florida,Cantharellus,lateritius,20
Florida,Lactarius,paradoxus,20
Florida,Hypholoma,fasciculare,19
Florida,Geastrum,saccatum,18
Florida,Marasmius,oreades,18
Florida,Tetrapyrgos,nigripes,18
Florida,Trametes,hirsuta,18
Florida,Amanita,flavoconia,17
Florida,Armillaria,mellea,17
Florida,Hygrocybe,conica,17
Florida,Laetiporus,sulphureus,17
Florida,Macrocybe,titans,17
Florida,Phylloporopsis,boletinoides,17
Florida,Rhopalogaster,transversarius,17
Florida,Russula,hixsonii,17
Florida,Craterellus,fallax,16
Florida,Lepista,nuda,16
Florida,Myriostoma,coliforme,16
Florida,Phylloporia,fruticum,16
Florida,Trichaptum,abietinum,16
Florida,Amanita,lavendula,15
Florida,Phylloporus,foliiporus,15
Florida,Rhizopogon,nigrescens,15
Florida,Cyathus,stercoreus,14
Florida,Gloeophyllum,striatum,14
Florida,Inonotus,rickii,14
Florida,Laetiporus,cincinnatus,14
Florida,Lentinula,boryana,14
Florida,Lycoperdon,umbrinum,14
Florida,Phylloporus,rhodoxanthus,14
Florida,Pluteus,petasatus,14
Florida,Aureoboletus,russellii,13
Florida,Gymnopilus,palmicola,13
Florida,Gymnopilus,sapineus,13
Florida,Inocybe,subnodulosa,13
Florida,Leucoagaricus,americanus,13
Florida,Marasmius,haematocephalus,13
Florida,Panellus,pusillus,13
Florida,Pisolithus,tinctorius,13
Florida,Scleroderma,polyrhizum,13
Florida,Trametes,coccinea,13
Florida,Albatrellus,subrubescens,12
Florida,Amanita,mutabilis,12
Florida,Aureoboletus,auriporus,12
Florida,Clavulinopsis,fusiformis,12
Florida,Daedaleopsis,confragosa,12
Florida,Funalia,rigida,12
Florida,Gerronema,strombodes,12
Florida,Lactarius,piperatus,12
Florida,Phyllotopsis,nidulans,12
Florida,Pisolithus,arenarius,12
Florida,Scleroderma,cepa,12
Florida,Scleroderma,flavidum,12
Florida,Trametes,membranacea,12
Florida,Trametes,papyracea,12
Florida,Clavulina,floridana,11
Florida,Fomitopsis,palustris,11
Florida,Hyphoderma,aspera,11
Florida,Lentinus,levis,11
Florida,Panaeolina,foenisecii,11
Florida,Phylloporus,leucomycelinus,11
Florida,Russula,brevipes,11
Florida,Tylopilus,plumbeoviolaceus,11
Florida,Amanita,rubescens,10
Florida,Armillaria,gallica,10
Florida,Byssomerulius,corium,10
Florida,Entoloma,abortivum,10
Florida,Fomitella,supina,10
Florida,Gymnopus,dryophilus,10
Florida,Helvellosebacina,concrescens,10
Florida,Hygrophorus,subsordidus,10
Florida,Irpex,chartaceus,10
Florida,Laccaria,amethystina,10
Florida,Lactarius,corrugis,10
Florida,Leucocoprinus,cepistipes,10
Florida,Lycoperdon,perlatum,10
Florida,Microporellus,obovatus,10
Florida,Phlebiopsis,papyrinum,10
Florida,Scleroderma,bovista,10
Florida,Stereum,hirsutum,10
Florida,Tricholoma,caligatum,10
Florida,Tylopilus,felleus,10
Florida,Agaricus,campestris,9
Florida,Agaricus,pocillator,9
Florida,Amanita,flavivolva,9
Florida,Boletus,luridellus,9
Florida,Cantharellus,odoratus,9
Florida,Coprinopsis,lagopus,9
Florida,Cyathus,olla,9
Florida,Favolus,tenuiculus,9
Florida,Ganoderma,lobatum,9
Florida,Geastrum,javanicum,9
Florida,Hohenbuehelia,petaloides,9
Florida,Hortiboletus,campestris,9
Florida,Hydnoporia,olivacea,9
Florida,Laccaria,trullisata,9
Florida,Lentinus,velutinus,9
Florida,Phallus,rubicundus,9
Florida,Phallus,rugulosus,9
Florida,Phellinus,licnoides,9
Florida,Russula,rosacea,9
Florida,Schizophyllum,umbrinum,9
Florida,Trichaptum,byssogenum,9
Florida,Tubaria,furfuracea,9
Florida,Amyloporia,sinuosa,8
Florida,Cantharellus,minor,8
Florida,Cortinarius,semisanguineus,8
Florida,Dichomitus,amygdalinus,8
Florida,Fibroporia,radiculosa,8
Florida,Fomitiporia,dryophila,8
Florida,Ganoderma,sulcatum,8
Florida,Ganoderma,tsugae,8
Florida,Gyroporus,castaneus,8
Florida,Hygrocybe,coccinea,8
Florida,Irpex,lacteus,8
Florida,Lactarius,psammicola,8
Florida,Osmoporus,mexicanum,8
Florida,Piptoporellus,soloniensis,8
Florida,Pluteus,tomentosulus,8
Florida,Rigidoporus,ulmarius,8
Florida,Russula,amoenolens,8
Florida,Sarcodontia,unicolor,8
Florida,Scytinostroma,portentosum,8
Florida,Stereum,fasciatum,8
Florida,Thelephora,terrestris,8
Florida,Tulostoma,striatum,8
Florida,Tylopilus,tabacinus,8
Florida,Veloporphyrellus,conicus,8
Florida,Xylobolus,subpileatus,8
Florida,Baorangia,bicolor,7
Florida,Calostoma,cinnabarinum,7
Florida,Coltricia,cinnamomea,7
Florida,Cortinarius,subglaucopus,7
Florida,Geastrum,triplex,7
Florida,Hymenochaete,iodinus,7
Florida,Hypochnus,albocinctus,7
Florida,Inocybe,gigantispora,7
Florida,Lentinula,raphanica,7
Florida,Leucoagaricus,leucothites,7
Florida,Macrolepiota,procera,7
Florida,Mutinus,bambusinus,7
Florida,Mycena,galericulata,7
Florida,Nothopanus,eugrammus,7
Florida,Panus,strigosus,7
Florida,Peniophora,albobadia,7
Florida,Perenniporia,medulla-panis,7
Florida,Schizopora,paradoxa,7
Florida,Sebacina,schweinitzii,7
Florida,Stereum,ochraceoflavum,7
Florida,Stereum,versicolor,7
Florida,Trametes,ectypa,7
Florida,Trametes,elegans,7
Florida,Xylobolus,frustulosum,7
Florida,Agaricus,blazei,6
Florida,Agaricus,cylindriceps,6
Florida,Agaricus,rhoadsii,6
Florida,Agrocybe,pediades,6
Florida,Agrocybe,subamara,6
Florida,Anthracophyllum,lateritium,6
Florida,Armillaria,australis,6
Florida,Astraeus,morganii,6
Florida,Butyriboletus,frostii,6
Florida,Calvatia,cyathiformis,6
Florida,Cerioporus,squamosus,6
Florida,Chlorophyllum,subrhacodes,6
Florida,Chroogomphus,vinicolor,6
Florida,Cortinarius,hiemalis,6
Florida,Cortinarius,lacticeps,6
Florida,Desarmillaria,tabescens,6
Florida,Dictyonema,sericeum,6
Florida,Gomphidius,alachuanus,6
Florida,Gymnopilus,luteofolius,6
Florida,Hebeloma,subfastibile,6
Florida,Hydnellum,caeruleum,6
Florida,Hydnellum,peckii,6
Florida,Hymenochaete,pinnatifida,6
Florida,Inonotus,quercustris,6
Florida,Lactarius,yazooensis,6
Florida,Lepiota,tinctoria,6
Florida,Lepista,panaeolus,6
Florida,Marasmiellus,cubensis,6
Florida,Melanoleuca,melaleuca,6
Florida,Pappia,fissilis,6
Florida,Phellinus,gilvus,6
Florida,Phlebia,fascicularia,6
Florida,Porphyrellus,sordidus,6
Florida,Pseudosperma,fastigiata,6
Florida,Russula,pusilla,6
Florida,Russula,subalbidula,6
Florida,Scleroderma,areolatum,6
Florida,Trichaptum,abietinus,6
Florida,Vitreoporus,dichrous,6
Florida,Volvariella,alachuana,6
Florida,Xylobolus,subpileatum,6
Florida,Aegerita,webberi,5
Florida,Agaricus,bilamellata,5
Florida,Agaricus,endoxanthus,5
Florida,Agaricus,projectellus,5
Florida,Agrocybe,retigera,5
Florida,Agrocybe,subpediades,5
Florida,Amanita,citrina,5
Florida,Amanita,levistriata,5
Florida,Amanita,phalloides,5
Florida,Artomyces,pyxidatus,5
Florida,Auricularia,cornea,5
Florida,Boletinellus,merulioides,5
Florida,Boletus,aureissimus,5
Florida,Boletus,flavissimus,5
Florida,Boletus,subsensibilis,5
Florida,Boletus,subvelutipes,5
Florida,Cantharellus,cibarius,5
Florida,Cerioporus,serpens,5
Florida,Chlorophyllum,humei,5
Florida,Climacodon,pulcherrimum,5
Florida,Coltricia,focicola,5
Florida,Coprinellus,arenicola,5
Florida,Coprinopsis,variegata,5
Florida,Cortinarius,marylandensis,5
Florida,Cortinarius,oreades,5
Florida,Donkia,pulcherrima,5
Florida,Exidia,recisa,5
Florida,Ginnsia,crocicreas,5
Florida,Hydnellum,alachuanus,5
Florida,Hydnophlebia,chrysorhiza,5
Florida,Hymenochaete,tabacina,5
Florida,Hymenochaetopsis,insularis,5
Florida,Inocybe,cylindrispora,5
Florida,Inocybe,praenucleata,5
Florida,Inocybe,subradiata,5
Florida,Inonotus,tabacinus,5
Florida,Laeticutis,cristatiformis,5
Florida,Leccinum,roseoscabrum,5
Florida,Lentinus,berteroi,5
Florida,Lentinus,squarrosulus,5
Florida,Lentinus,villosus,5
Florida,Leratiomyces,ceres,5
Florida,Lycoperdon,rimulatum,5
Florida,Mallocybe,subdecurrens,5
Florida,Marasmiellus,dealbatus,5
Florida,Meruliporia,incrassata,5
Florida,Panaeolus,cinctulus,5
Florida,Panaeolus,pumilus,5
Florida,Phaeophlebiopsis,ravenelii,5
Florida,Phellodon,niger,5
Florida,Phlebia,tremellosus,5
Florida,Ramaria,formosa,5
Florida,Rhizoctonia,filamentosa,5
Florida,Russula,crustosa,5
Florida,Russula,vinacea,5
Florida,Sarcodontia,fragilissimum,5
Florida,Sarcodontia,mollis,5
Florida,Scleroderma,lycoperdoides,5
Florida,Strobilomyces,confusus,5
Florida,Stropharia,coronilliformis,5
Florida,Suillellus,pictiformis,5
Florida,Suillus,luteus,5
Florida,Suillus,salmonicolor,5
Florida,Trametes,ectypus,5
Florida,Trametes,marianna,5
Florida,Trametes,pubescens,5
Florida,Tremelloscypha,gelatinosa,5
Florida,Tricholoma,caligata,5
Florida,Tricholoma,terreum,5
Florida,Tricholomopsis,formosa,5
Florida,Tylopilus,peralbidus,5
Florida,Xanthoconium,affine,5
Florida,Xeromphalina,campanella,5
Florida,Agaricus,arvensis,4
Florida,Agaricus,suboreades,4
Florida,Agaricus,sylvicola,4
Florida,Agaricus,wilmotii,4
Florida,Amanita,brunnescens,4
Florida,Amanita,rhoadsii,4
Florida,Amanita,westii,4
Florida,Boletus,bicolor,4
Florida,Boletus,subtomentosus,4
Florida,Calvarula,excavata,4
Florida,Ceriporia,alachuana,4
Florida,Chlorophyllum,morganii,4
Florida,Clavaria,fragilis,4
Florida,Coprinus,comatus,4
Florida,Coriolopsis,byrsina,4
Florida,Cortinarius,equestriformis,4
Florida,Cortinarius,lilacinus,4
Florida,Cortinarius,violaceus,4
Florida,Cortinarius,watsonii,4
Florida,Crustoderma,dryinum,4
Florida,Deconica,coprophila,4
Florida,Echinoderma,asperum,4
Florida,Entoloma,strictius,4
Florida,Entoloma,subcommune,4
Florida,Fomes,fomentarius,4
Florida,Fomes,meliae,4
Florida,Ganoderma,australe,4
Florida,Geastrum,schweinitzii,4
Florida,Gloeoporus,conchoides,4
Florida,Gloeoporus,rufa,4
Florida,Gymnopilus,cyanopalmicola,4
Florida,Gymnopilus,lepidotus,4
Florida,Hapalopilus,croceus,4
Florida,Heterobasidion,annosum,4
Florida,Hydnum,membranaceum,4
Florida,Hygrocybe,cantharellus,4
Florida,Hygrocybe,langei,4
Florida,Infundibulicybe,gibba,4
Florida,Inocutis,ludoviciana,4
Florida,Inocutis,ludovicianus,4
Florida,Lactarius,paradoxiformis,4
Florida,Lactarius,praezonatus,4
Florida,Laeticutis,cristatus,4
Florida,Lentinellus,ursinus,4
Florida,Lentinula,edodes,4
Florida,Lenzites,betulinus,4
Florida,Lepista,tarda,4
Florida,Leucocoprinus,cretaceus,4
Florida,Mallocybe,fulviceps,4
Florida,Marasmius,graminum,4
Florida,Marasmius,siccus,4
Florida,Megasporoporia,setulosus,4
Florida,Microporellus,dealbatus,4
Florida,Microporellus,mutabilis,4
Florida,Naematoloma,subumbonatescens,4
Florida,Panaeolus,fimicola,4
Florida,Panus,conchatus,4
Florida,Panus,strigellus,4
Florida,Peniophora,albobadium,4
Florida,Phallus,duplicatus,4
Florida,Phellinus,igniarius,4
Florida,Phlebiopsis,crassum,4
Florida,Phlebiopsis,scabriseta,4
Florida,Pleuroflammula,flammea,4
Florida,Pluteus,chrysaegis,4
Florida,Podaxis,argentinus,4
Florida,Polyporus,gratzianus,4
Florida,Polyporus,niphodes,4
Florida,Pseudoinonotus,dryadeus,4
Florida,Psilocybe,cyanescens,4
Florida,Ramaria,stricta,4
Florida,Rigidoporus,lineatus,4
Florida,Russula,alpium,4
Florida,Russula,betularum,4
Florida,Russula,parvovirescens,4
Florida,Russula,perlactea,4
Florida,Sarcodontia,spumeus,4
Florida,Scleroderma,floridanum,4
Florida,Scleroderma,geaster,4
Florida,Singerocybe,adirondackensis,4
Florida,Sparassis,spathulata,4
Florida,Steccherinum,laeticolor,4
Florida,Stereophlebia,tuberculata,4
Florida,Strobilurus,conigenoides,4
Florida,Suillellus,luridus,4
Florida,Suillus,brevipes,4
Florida,Suillus,cothurnatus,4
Florida,Suillus,hirtellus,4
Florida,Tetrapyrgos,longicystidiata,4
Florida,Thelephora,cuticularis,4
Florida,Tulostoma,berkeleyi,4
Florida,Tylopilus,griseocarneus,4
Florida,Tylopilus,minor,4
Florida,Tyromyces,chioneus,4
Florida,Volvopluteus,gloiocephalus,4
Florida,Xylobolus,frustulatum,4
Florida,Xylobolus,insigne,4
Florida,Zelleromyces,ravenelii,4
Florida,Abortiporus,biennis,3
Florida,Agaricus,alachuanus,3
Florida,Agaricus,subalachuanus,3
Florida,Agaricus,xanthodermus,3
Florida,Alessioporus,rubriflavus,3
Florida,Amanita,abrupta,3
Florida,Amanita,arenicola,3
Florida,Amanita,cylindrispora,3
Florida,Amanita,flavorubescens,3
Florida,Amanita,malodora,3
Florida,Amanita,roanokensis,3
Florida,Amanita,subrecutitus,3
Florida,Amanita,tenuifolius,3
Florida,Antrodia,albida,3
Florida,Atheliachaete,petersii,3
Florida,Auricularia,fuscosuccinea,3
Florida,Auricularia,nigrescens,3
Florida,Auricularia,polytricha,3
Florida,Bjerkandera,adusta,3
Florida,Bolbitius,coprophilus,3
Florida,Boletus,pallidus,3
Florida,Bovista,pusillum,3
Florida,Bovista,sempervirentium,3
Florida,Calvatia,bicolor,3
Florida,Cantharellus,texensis,3
Florida,Chaetocalathus,liliputianus,3
Florida,Chrysomphalina,chrysophylla,3
Florida,Cinereomyces,lindbladii,3
Florida,Clavulina,coralloides,3
Florida,Clavulinopsis,laeticolor,3
Florida,Conocybe,caespitosa,3
Florida,Coprinellus,floridanus,3
Florida,Coprinus,ebulbosus,3
Florida,Cortinarius,citriniceps,3
Florida,Craterellus,cornucopioides,3
Florida,Daedalea,ambigua,3
Florida,Dichostereum,pallescens,3
Florida,Disciseda,subterranea,3
Florida,Earliella,scabrosa,3
Florida,Entoloma,floridanum,3
Florida,Entoloma,vernum,3
Florida,Erastia,salmonicolor,3
Florida,Erythricium,salmonicolor,3
Florida,Exidiopsis,effusa,3
Florida,Fistulinella,gloeocarpa,3
Florida,Fomitella,hemileucus,3
Florida,Fuscocerrena,portoricensis,3
Florida,Ganoderma,lucidum,3
Florida,Geastrum,fimbriatum,3
Florida,Gerronema,subchrysophylla,3
Florida,Gyroporus,subalbellus,3
Florida,Haplotrichum,laevisporus,3
Florida,Hebeloma,crustuliniforme,3
Florida,Hydnellum,aurantiacum,3
Florida,Hydnum,subcarnaceum,3
Florida,Hygrophoropsis,aurantiaca,3
Florida,Hygrophorus,russuliformis,3
Florida,Hymenochaetopsis,corrugata,3
Florida,Hymenopellis,furfuracea,3
Florida,Hyphoderma,setigera,3
Florida,Hyphoderma,setigerum,3
Florida,Hyphodontia,granulosa,3
Florida,Inocybe,nucleata,3
Florida,Inonotus,micantissimus,3
Florida,Lactarius,alachuanus,3
Florida,Lactarius,deceptivus,3
Florida,Lactarius,maculatipes,3
